"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class"
1000091,"   98P/Takamizawa",98P,"JPL K203/2",5.4,0.5606,3.806,1.672,10.55,114.75,281.08,5.94,2456509.98,"Javier Roa",2006-03-24,2021-05-12,558,157.95,JFc
1000055,"   99P/Kowal 1",99P,"JPL 74",10.2,0.2297,6.135,4.726,4.34,28.18,187.64,7.54,2459677.89,"Davide Farnocchia",1977-04-24,2024-07-25,1698,174.19,JFc
1000040,"  100P/Hartley 1",100P,"JPL 39",,0.4138,3.428,2.010,25.58,37.77,302.22,4.85,2457480.60,"Otto Matic",1985-06-13,2022-08-15,637,181.88,JFc
1000011,"  101P/Chernykh",101P,"JPL K202/6",5.6,0.5977,5.782,2.326,5.03,116.59,224.40,9.24,2458856.28,"Davide Farnocchia",2005-07-10,2022-03-01,1211,277.43,JFc
1000083,"  102P/Shoemaker 1",102P,"JPL K213/2",3.2,0.4732,3.737,1.969,26.24,339.87,297.48,5.50,2456536.66,"Shantanu Naidu",2006-07-24,2022-01-06,392,18.74,JFc
1000041,"  103P/Hartley 2",103P,"JPL K232/32",1.6,0.6938,3.475,1.064,13.61,219.75,347.29,5.89,2460230.01,"Davide Farnocchia",2017-10-21,2024-05-05,2816,181.30,JFc
1000056,"  104P/Kowal 2",104P,"JPL K222/11",2.0,0.6655,3.208,1.073,5.70,207.21,342.05,5.34,2459591.12,"Davide Farnocchia",2016-01-04,2022-06-12,1551,227.25,JFc
1000086,"  105P/Singer Brewster",105P,"JPL 52",2.2,0.4093,3.472,2.051,9.17,192.42,0.43,4.89,2455983.67,"Shantanu Naidu",1986-05-03,2024-03-13,783,46.67,JFc
1000078,"  106P/Schuster",106P,"JPL 41",1.88,0.5895,3.754,1.541,20.20,50.33,86.00,5.97,2456858.96,"Davide Farnocchia",1977-09-05,2022-03-25,745,355.98,JFc
1000013,"  108P/Ciffreo",108P,"JPL K212/19",3.2,0.5810,3.642,1.526,13.98,52.40,184.02,5.76,2459498.73,"Shantanu Naidu",2014-06-17,2022-03-26,2301,356.86,JFc
1000140,"  109P/Swift-Tuttle",109P,"JPL 32",26,0.9632,26.09,0.960,113.45,139.38,7.63,51.22,2448968.50,"M.S.W. Keesey",1737-07-08,1995-03-29,652,152.98,HTC
1000119,"  110P/Hartley 3",110P,"JPL K212/36",4.3,0.3163,3.604,2.464,11.70,287.53,178.35,4.74,2457008.18,"Davide Farnocchia",2013-08-11,2023-05-13,2416,167.40,JFc
1000118,"  111P/Helin-Roman-Crockett",111P,"JPL 8",1.2,0.1096,4.16,3.704,4.23,89.79,359.69,4.62,2456323.13,"Alan B. Chamberlin",1989-01-03,2012-12-21,137,3.38,ETc
