"spkid","full_name","pdes","orbit_id","diameter","e","a","q","i","om","ma","ad","tp","producer","first_obs","last_obs","n_obs_used","w","class","moid"
20052768," 52768 (1998 OR2)",52768,"JPL 368",1.75,0.5755,2.38,1.010,5.88,26.94,81.21,3.75,2460297.98,"Otto Matic",1987-06-30,2024-10-05,6083,174.59,APO,0.00979
20053319," 53319 (1999 JM8)",53319,"JPL 253",7.,0.6414,2.724,0.977,13.84,133.62,228.77,4.47,2461198.95,"Otto Matic",1990-04-27,2024-02-03,1416,166.80,APO,0.0245
20053426," 53426 (1999 SL5)",53426,"JPL 242",,0.5391,1.923,0.886,22.77,239.06,167.90,2.96,2460146.17,"Otto Matic",1999-09-28,2024-01-11,1284,43.36,APO,0.0244
20053429," 53429 (1999 TF5)",53429,"JPL 36",,0.6410,2.022,0.726,26.78,199.16,281.57,3.32,2460829.24,"Otto Matic",1999-10-03,2022-10-29,149,64.09,APO,0.0482
20053550," 53550 (2000 BF19)",53550,"JPL 118",,0.4196,1.495,0.868,7.17,313.14,67.25,2.12,2460475.74,"Otto Matic",1991-10-04,2024-09-30,397,324.95,APO,0.046
20053789," 53789 (2000 ED104)",53789,"JPL 239",0.843,0.2692,1.371,1.002,40.78,190.02,236.89,1.74,2460800.93,"Otto Matic",1955-04-16,2024-06-18,1197,218.35,APO,0.0482
20065679," 65679 (1989 UQ)",65679,"JPL 159",0.918,0.2647,0.9148,0.673,1.30,178.08,195.92,1.16,2460746.16,"Otto Matic",1954-11-20,2024-10-11,967,15.01,ATE,0.014
20065690," 65690 (1991 DG)",65690,"JPL 178",,0.3632,1.428,0.909,11.14,180.10,212.30,1.95,2460856.18,"Otto Matic",1991-02-20,2022-12-20,1172,63.37,APO,0.0402
20065717," 65717 (1993 BX3)",65717,"JPL 167",,0.2810,1.395,1.003,2.81,174.75,104.62,1.79,2460425.54,"Otto Matic",1992-10-03,2021-05-16,5565,290.95,APO,0.0481
20065803," 65803 Didymos (1996 GT)",65803,"JPL 219",0.78,0.3833,1.643,1.013,3.41,72.99,339.93,2.27,2460643.37,"Steve Chesley",2022-10-01,2024-09-22,1647,319.60,APO,0.0398
20065909," 65909 (1998 FH12)",65909,"JPL 136",,0.5397,1.091,0.502,3.56,108.59,196.93,1.68,2460789.06,"Otto Matic",1998-03-25,2023-04-12,527,284.51,APO,0.0126
20066391," 66391 Moshup (1999 KW4)",66391,"JPL 366",1.317,0.6884,0.6424,0.200,38.88,244.90,296.90,1.08,2460633.46,"Otto Matic",1998-05-29,2024-07-07,3865,192.65,ATE,0.0145
20067367," 67367 (2000 LY27)",67367,"JPL 159",,0.2127,1.308,1.030,9.02,264.51,248.94,1.59,2460769.16,"Otto Matic",1976-05-27,2024-08-05,726,184.84,AMO,0.0472
20067381," 67381 (2000 OL8)",67381,"JPL 56",,0.5430,1.321,0.604,10.67,294.84,38.01,2.04,2460541.97,"Otto Matic",2000-07-30,2023-10-12,226,266.96,APO,0.0177
20068216," 68216 (2001 CV26)",68216,"JPL 484",0.994,0.3267,1.32,0.889,17.99,18.13,301.79,1.75,2460690.05,"Otto Matic",2001-02-01,2024-08-06,2651,48.74,APO,0.0241
20068346," 68346 (2001 KZ66)",68346,"JPL 238",0.736,0.4166,1.507,0.879,16.70,219.37,133.79,2.14,2460349.29,"Otto Matic",1979-12-28,2023-06-10,1171,140.29,APO,0.0386
20068347," 68347 (2001 KB67)",68347,"JPL 81",,0.3799,0.9616,0.596,17.13,245.86,352.38,1.33,2460607.79,"Otto Matic",2001-05-30,2021-10-16,614,243.82,ATE,0.0137
20068372," 68372 (2001 PM9)",68372,"JPL 109",,0.4160,1.618,0.945,8.11,252.96,157.97,2.29,2460270.62,"Otto Matic",2001-06-28,2024-10-03,374,322.33,APO,0.00376
20068548," 68548 (2001 XR31)",68548,"JPL 250",1.182,0.4368,1.707,0.961,22.72,302.02,186.50,2.45,2460993.10,"Otto Matic",1994-04-06,2024-03-11,1352,24.71,APO,0.0247
20068950," 68950 (2002 QF15)",68950,"JPL 521",1.650,0.3443,1.057,0.693,25.15,236.21,54.57,1.42,2460540.33,"Otto Matic",1955-07-23,2021-10-15,3067,255.57,APO,0.00746
20069230," 69230 Hermes (1937 UB)",69230,"JPL 192",,0.6239,1.655,0.622,6.07,34.05,279.39,2.69,2460774.62,"Otto Matic",1937-10-25,2024-10-06,2662,92.90,APO,0.00431
20085182," 85182 (1991 AQ)",85182,"JPL 159",1.1,0.7777,2.22,0.494,3.12,339.40,59.27,3.95,2460401.55,"Otto Matic",1991-01-14,2024-10-09,730,243.23,APO,0.0161
20085236," 85236 (1993 KH)",85236,"JPL 171",,0.3110,1.234,0.850,12.81,54.36,252.62,1.62,2460749.81,"Otto Matic",1993-05-24,2024-01-24,1174,293.82,APO,0.000862
20085585," 85585 Mjolnir (1998 FG2)",85585,"JPL 32",,0.3563,1.298,0.835,4.08,2.31,37.53,1.76,2460544.22,"Otto Matic",1998-03-21,2003-10-20,196,95.42,APO,0.0218
20085640," 85640 (1998 OX4)",85640,"JPL 64",,0.4859,1.58,0.812,4.52,299.57,15.27,2.35,2460569.73,"Otto Matic",1998-07-26,2019-05-01,274,117.30,APO,0.00102
20085713," 85713 (1998 SS49)",85713,"JPL 287",3.484,0.6388,1.923,0.695,10.79,40.95,239.57,3.15,2460926.40,"Otto Matic",1998-09-29,2024-09-30,1493,103.13,APO,0.0039
20085774," 85774 (1998 UT18)",85774,"JPL 195",0.939,0.3288,1.403,0.942,13.59,64.62,178.64,1.86,2460299.33,"Otto Matic",1989-04-30,2024-07-01,900,50.15,APO,0.0363
20085938," 85938 (1999 DJ4)",85938,"JPL 126",,0.4846,1.853,0.955,9.14,19.87,41.94,2.75,2460493.20,"Otto Matic",1999-02-24,2024-07-01,647,197.79,APO,0.023
20085989," 85989 (1999 JD6)",85989,"JPL 497",1.462,0.6329,0.8831,0.324,17.07,130.15,338.43,1.44,2460618.66,"Otto Matic",1990-06-22,2024-09-21,3831,309.25,ATE,0.0475
20085990," 85990 (1999 JV6)",85990,"JPL 256",0.451,0.3111,1.008,0.695,5.36,124.30,312.19,1.32,2460649.62,"Otto Matic",1999-05-13,2024-01-28,1190,235.57,APO,0.0316
20086039," 86039 (1999 NC43)",86039,"JPL 307",2.22,0.5789,1.76,0.741,7.13,311.62,217.35,2.78,2460938.41,"Otto Matic",1999-06-11,2024-07-06,1613,120.81,APO,0.0243
20086819," 86819 (2000 GK137)",86819,"JPL 162",0.802,0.5059,1.995,0.986,10.06,164.88,212.48,3.00,2461022.39,"Otto Matic",1994-04-03,2022-03-05,827,150.30,APO,0.0168
20087684," 87684 (2000 SY2)",87684,"JPL 358",,0.6428,0.8587,0.307,19.22,162.01,182.98,1.41,2460743.40,"Otto Matic",1977-10-07,2024-10-12,2116,47.81,ATE,0.0466
20088254," 88254 (2001 FM129)",88254,"JPL 195",0.800,0.6296,1.182,0.438,1.52,272.11,166.57,1.93,2460383.21,"Otto Matic",1978-05-08,2024-05-02,921,140.23,APO,0.01
20088959," 88959 (2001 TZ44)",88959,"JPL 87",,0.5635,1.724,0.752,53.83,38.96,18.09,2.69,2460558.97,"Otto Matic",2001-09-26,2021-11-02,456,114.92,APO,0.0491
20089136," 89136 (2001 US16)",89136,"JPL 191",,0.2530,1.356,1.013,1.91,175.90,332.59,1.70,2460644.41,"Otto Matic",2001-10-18,2023-11-09,1298,67.20,APO,0.029
20089830," 89830 (2002 CE)",89830,"JPL 366",5.067,0.5070,2.078,1.024,43.65,19.90,253.27,3.13,2460924.84,"Otto Matic",1982-05-25,2024-06-10,2925,5.84,AMO,0.0284
20089958," 89958 (2002 LY45)",89958,"JPL 169",,0.8864,1.642,0.186,9.91,188.16,186.10,3.10,2460971.69,"Otto Matic",2000-06-14,2024-06-08,1049,222.94,APO,0.000553
20089959," 89959 (2002 NT7)",89959,"JPL 194",1.407,0.5284,1.735,0.818,42.36,132.00,206.61,2.65,2460956.30,"Otto Matic",1954-07-10,2024-07-09,1786,300.71,APO,0.000874
20090075," 90075 (2002 VU94)",90075,"JPL 580",2.233,0.5755,2.136,0.907,8.91,226.73,128.37,3.37,2460193.82,"Otto Matic",1955-10-25,2024-09-28,3447,30.77,APO,0.0281
20090403," 90403 (2003 YE45)",90403,"JPL 272",0.572,0.2802,1.234,0.889,19.01,286.23,341.08,1.58,2460626.83,"Otto Matic",1989-09-12,2023-09-20,2175,306.85,APO,0.0358
20090416," 90416 (2003 YK118)",90416,"JPL 140",0.968,0.4924,1.695,0.860,7.83,326.76,117.11,2.53,2460338.35,"Otto Matic",1993-08-13,2024-09-12,937,233.29,APO,0.00216
20099248," 99248 (2001 KY66)",99248,"JPL 287",1.115,0.5073,1.867,0.920,10.61,284.11,359.76,2.81,2460601.13,"Otto Matic",1991-06-08,2024-09-22,3215,61.58,APO,0.048
20099942," 99942 Apophis (2004 MN4)",99942,"JPL 218",0.34,0.1911,0.9224,0.746,3.34,203.90,227.76,1.10,2460719.35,"Davide Farnocchia",2004-03-15,2021-05-12,7364,126.67,ATE,0.000613
20100085,"100085 (1992 UY4)",100085,"JPL 115",,0.6190,2.651,1.010,2.64,305.18,158.29,4.29,2459907.42,"Otto Matic",1979-06-29,2023-02-09,660,42.24,APO,0.0249
20101869,"101869 (1999 MM)",101869,"JPL 59",,0.6109,1.624,0.632,4.77,110.92,52.69,2.62,2460489.86,"Otto Matic",1999-06-12,2008-02-12,201,268.84,APO,0.00129
20101955,"101955 Bennu (1999 RQ36)",101955,"JPL 118",0.482,0.2037,1.126,0.897,6.03,2.06,101.70,1.36,2455439.14,"Davide Farnocchia",1999-09-11,2020-10-03,554,66.22,APO,0.00322
20103067,"103067 (1999 XA143)",103067,"JPL 169",1.282,0.5812,1.844,0.772,38.56,116.52,289.32,2.92,2460780.05,"Otto Matic",1994-12-02,2024-10-06,1031,104.10,APO,0.0422
